labels_str,labels,id,microscope,filename
ES,0,0,sted,mask_ES_0_0.npz
ES,0,1,sted,mask_ES_1_0.npz
ES,0,2,sted,mask_ES_1_1.npz
ES,0,3,sted,mask_ES_2_0.npz
ES,0,4,sted,mask_ES_2_1.npz
ES,0,5,sted,mask_ES_2_2.npz
ES,0,6,sted,mask_ES_2_3.npz
ES,0,7,sted,mask_ES_3_0.npz
ES,0,8,sted,mask_ES_3_1.npz
ES,0,9,sted,mask_ES_3_2.npz
ES,0,10,sted,mask_ES_3_3.npz
ES,0,11,sted,mask_ES_4_0.npz
ES,0,12,sted,mask_ES_4_1.npz
ES,0,13,sted,mask_ES_4_2.npz
ES,0,14,sted,mask_ES_4_3.npz
ES,0,15,sted,mask_ES_4_4.npz
ES,0,16,sted,mask_ES_5_0.npz
ES,0,17,sted,mask_ES_5_1.npz
ES,0,18,sted,mask_ES_5_2.npz
ES,0,19,sted,mask_ES_5_3.npz
ES,0,20,sted,mask_ES_5_4.npz
ES,0,21,sted,mask_ES_6_0.npz
ES,0,22,sted,mask_ES_6_1.npz
ES,0,23,sted,mask_ES_6_2.npz
ES,0,24,sted,mask_ES_7_0.npz
ES,0,25,sted,mask_ES_7_1.npz
ES,0,26,sted,mask_ES_9_0.npz
ES,0,27,sted,mask_ES_9_1.npz
ES,0,28,sted,mask_ES_9_2.npz
ES,0,29,sted,mask_ES_10_0.npz
ES,0,30,sted,mask_ES_10_1.npz
ES,0,31,sted,mask_ES_10_2.npz
ES,0,32,sted,mask_ES_11_0.npz
ES,0,33,sted,mask_ES_11_1.npz
ES,0,34,sted,mask_ES_11_2.npz
ES,0,35,sted,mask_ES_11_3.npz
ES,0,36,sted,mask_ES_11_4.npz
ES,0,37,sted,mask_ES_11_5.npz
ES,0,38,sted,mask_ES_12_0.npz
ES,0,39,sted,mask_ES_12_1.npz
ES,0,40,sted,mask_ES_13_0.npz
ES,0,41,sted,mask_ES_13_1.npz
ES,0,42,sted,mask_ES_13_2.npz
ES,0,43,sted,mask_ES_13_3.npz
ES,0,44,sted,mask_ES_13_4.npz
ES,0,45,sted,mask_ES_13_5.npz
ES,0,46,sted,mask_ES_14_0.npz
ES,0,47,sted,mask_ES_14_1.npz
ES,0,48,sted,mask_ES_15_0.npz
ES,0,49,sted,mask_ES_15_1.npz
ES,0,50,sted,mask_ES_16_0.npz
ES,0,51,sted,mask_ES_16_1.npz
ES,0,52,sted,mask_ES_16_2.npz
ES,0,53,sted,mask_ES_17_0.npz
ES,0,54,sted,mask_ES_17_1.npz
ES,0,55,sted,mask_ES_17_2.npz
ES,0,56,sted,mask_ES_18_0.npz
ES,0,57,sted,mask_ES_18_1.npz
ES,0,58,sted,mask_ES_18_2.npz
ES,0,59,sted,mask_ES_18_3.npz
ES,0,60,sted,mask_ES_19_0.npz
ES,0,61,sted,mask_ES_19_1.npz
ES,0,62,sted,mask_ES_19_2.npz
ES,0,63,sted,mask_ES_20_0.npz
ES,0,64,sted,mask_ES_20_1.npz
ES,0,65,sted,mask_ES_20_2.npz
ES,0,66,sted,mask_ES_20_3.npz
ES,0,67,sted,mask_ES_20_4.npz
ES,0,68,sted,mask_ES_21_0.npz
ES,0,69,sted,mask_ES_21_1.npz
ES,0,70,sted,mask_ES_21_2.npz
ES,0,71,sted,mask_ES_21_3.npz
ES,0,72,sted,mask_ES_22_0.npz
ES,0,73,sted,mask_ES_22_1.npz
ES,0,74,sted,mask_ES_22_2.npz
ES,0,75,sted,mask_ES_23_0.npz
ES,0,76,sted,mask_ES_23_1.npz
ES,0,77,sted,mask_ES_23_2.npz
ES,0,78,sted,mask_ES_23_3.npz
ES,0,79,sted,mask_ES_23_4.npz
ES,0,80,sted,mask_ES_23_5.npz
ES,0,81,sted,mask_ES_23_6.npz
ES,0,82,sted,mask_ES_24_0.npz
ES,0,83,sted,mask_ES_24_1.npz
ES,0,84,sted,mask_ES_24_2.npz
ES,0,85,sted,mask_ES_25_0.npz
ES,0,86,sted,mask_ES_25_1.npz
ES,0,87,sted,mask_ES_25_2.npz
ES,0,88,sted,mask_ES_25_3.npz
ES,0,89,sted,mask_ES_25_4.npz
ES,0,90,sted,mask_ES_26_0.npz
ES,0,91,sted,mask_ES_26_1.npz
ES,0,92,sted,mask_ES_27_0.npz
ES,0,93,sted,mask_ES_27_1.npz
ES,0,94,sted,mask_ES_27_2.npz
ES,0,95,sted,mask_ES_28_0.npz
ES,0,96,sted,mask_ES_28_1.npz
ES,0,97,sted,mask_ES_28_2.npz
ES,0,98,sted,mask_ES_28_3.npz
ES,0,99,sted,mask_ES_28_4.npz
ES,0,100,sted,mask_ES_28_5.npz
ES,0,101,sted,mask_ES_28_6.npz
ES,0,102,sted,mask_ES_29_0.npz
ES,0,103,sted,mask_ES_29_1.npz
ES,0,104,sted,mask_ES_29_2.npz
ES,0,105,sted,mask_ES_29_3.npz
ES,0,106,sted,mask_ES_30_0.npz
ES,0,107,sted,mask_ES_30_1.npz
ES,0,108,sted,mask_ES_30_2.npz
ES,0,109,sted,mask_ES_30_3.npz
ES,0,110,sted,mask_ES_30_4.npz
ES,0,111,sted,mask_ES_30_5.npz
ES,0,112,sted,mask_ES_31_0.npz
ES,0,113,sted,mask_ES_31_1.npz
ES,0,114,sted,mask_ES_31_2.npz
ES,0,115,sted,mask_ES_31_3.npz
ES,0,116,sted,mask_ES_32_0.npz
ES,0,117,sted,mask_ES_32_1.npz
ES,0,118,sted,mask_ES_32_2.npz
ES,0,119,sted,mask_ES_32_3.npz
ES,0,120,sted,mask_ES_32_4.npz
ES,0,121,sted,mask_ES_33_0.npz
ES,0,122,sted,mask_ES_33_1.npz
ES,0,123,sted,mask_ES_33_2.npz
ES,0,124,sted,mask_ES_33_3.npz
ES,0,125,sted,mask_ES_34_0.npz
ES,0,126,sted,mask_ES_34_1.npz
ES,0,127,sted,mask_ES_34_2.npz
ES,0,128,sted,mask_ES_34_3.npz
ES,0,129,sted,mask_ES_34_4.npz
ES,0,130,sted,mask_ES_35_0.npz
ES,0,131,sted,mask_ES_35_1.npz
ES,0,132,sted,mask_ES_35_2.npz
ES,0,133,sted,mask_ES_35_3.npz
ES,0,134,sted,mask_ES_35_4.npz
ES,0,135,sted,mask_ES_36_0.npz
ES,0,136,sted,mask_ES_36_1.npz
ES,0,137,sted,mask_ES_36_2.npz
ES,0,138,sted,mask_ES_36_3.npz
ES,0,139,sted,mask_ES_37_0.npz
ES,0,140,sted,mask_ES_37_1.npz
ES,0,141,sted,mask_ES_37_2.npz
ES,0,142,sted,mask_ES_37_3.npz
ES,0,143,sted,mask_ES_38_0.npz
ES,0,144,sted,mask_ES_38_1.npz
ES,0,145,sted,mask_ES_39_0.npz
ES,0,146,sted,mask_ES_40_0.npz
ES,0,147,sted,mask_ES_40_1.npz
ES,0,148,sted,mask_ES_40_2.npz
ES,0,149,sted,mask_ES_40_3.npz
ES,0,150,sted,mask_ES_40_4.npz
ES,0,151,sted,mask_ES_41_0.npz
ES,0,152,sted,mask_ES_41_1.npz
ES,0,153,sted,mask_ES_41_2.npz
ES,0,154,sted,mask_ES_41_3.npz
ES,0,155,sted,mask_ES_41_4.npz
ES,0,156,sted,mask_ES_41_5.npz
ES,0,157,sted,mask_ES_41_6.npz
ES,0,158,sted,mask_ES_41_7.npz
ES,0,159,sted,mask_ES_41_8.npz
ES,0,160,sted,mask_ES_41_9.npz
ES,0,161,sted,mask_ES_42_0.npz
ES,0,162,sted,mask_ES_42_1.npz
ES,0,163,sted,mask_ES_42_2.npz
ES,0,164,sted,mask_ES_42_3.npz
ES,0,165,sted,mask_ES_42_4.npz
