prefix,dim,type,accuracy_balanced,accuracy_train,precision,recall,run,hash_train,hash_test
clip_minmax_gaussian2c_minmax,2,all,0.8503787878787878,1.0,0.8609523809523808,0.8285714285714286,0,4a45b76301a5bda2b2e9e9b16df34a90653a7bb3a45fb55f24aa474fbdc30555,d3d833d4970af6564a470a28f7c123b9e1820b90489eb35986024831f304c387
clip_minmax_gaussian2c_minmax,2,all,0.668560606060606,1.0,0.7142857142857143,0.7142857142857143,1,c2d96f1f4d729ee884b45f10447fbcc56c406e188ded02a0e9a304446a6dc4aa,90c80ab345a9e036abf2c79e3240df608f557806f838c8e5561d7ca74194146b
clip_minmax_gaussian2c_minmax,2,all,0.7386363636363636,1.0,0.7673469387755101,0.7428571428571429,2,29268a312f75ffe277200d123a12ccba6797257f02dc8e94b29b664b00301477,7d9338d78c1baba1771ae927838c9ca1f2d4dfb39b0f7c8b20f56c6262a785ab
clip_minmax_gaussian2c_minmax,2,all,0.8049242424242424,1.0,0.8224489795918368,0.8,3,9257f66e7efea5107b62a0440493c6ab56c336ce2538cc6db823033f979e3e2e,730cf3628b2e5c16a2c3403229e2cc8617e559ebeeb6208a021d28d230dae380
clip_minmax_gaussian2c_minmax,2,all,0.6098484848484849,1.0,0.6627450980392157,0.6,4,b2beabe729d23655db1476deb5b4536c91e4548b2f8b14ae62aa3865eee6de4d,dc54bd1792023b214ff236d3cddf07b599774adef4b8d1b2ed46602dc764b5dc
clip_minmax_gaussian2c_minmax,2,all,0.9375,1.0,0.9326530612244897,0.9142857142857144,5,fc4b032eaed0f1976549491040b260943b53262aed15bfbee405be2429fc9e22,3e5683e8bb10ef43f180021c51fe20aeecf46b15046e159459b8fa27fcfb7046
clip_minmax_gaussian2c_minmax,2,all,0.7632575757575758,1.0,0.7903195488721805,0.7428571428571429,6,5d209fb47a5620fc73d0533f055aeb01fbcf7ebfec36fb836ab491bafdbb88b4,28f734e7f402e1a5d932e9f49a1f1557c6bbc7048f54bd6502de4052aecd18a1
clip_minmax_gaussian2c_minmax,2,all,0.8712121212121212,1.0,0.8775510204081632,0.8571428571428571,7,1d64e90dcc58cee334d0a391e63ab7a537b05b303bbf88ac55623c6da6e06ddf,a6fba041cc3b2e4a58f24d1360bee67c196c9e8984a3c113061b9fd0353b0d4a
clip_minmax_gaussian2c_minmax,2,all,0.7840909090909092,1.0,0.8057142857142858,0.7714285714285715,8,df81bf382b95f3ea3a90407c58bd2f6644b46cf4e88a53bd893f44db69c31bb6,8a560bb7ef6049067f6b42cca42224012f1d30302492b5a2f0fe0c942ffed75f
clip_minmax_gaussian2c_minmax,2,all,0.696969696969697,1.0,0.7345864661654135,0.6857142857142857,9,ccfdc0f1f77b3b16f8aaaaa432e7f15f480e2f0fd9d8046a198c8174a6eedb24,3f416601d46cbac9d10f487234d9d0a9a7e1d1c26d95a00aeefc8ac07867375f
clip_minmax_gaussian2c_minmax,2,all,0.759469696969697,0.9821428571428572,0.7856143856143856,0.7714285714285715,10,c469e97c07bff38202bf05fc7cee00b9042a8b31b59e20747f2340858eb666c2,ddb5517c9da309919c32eb31cfe5bc9b8327149f80e991349e7b24c132cecf8f
clip_minmax_gaussian2c_minmax,2,all,0.553030303030303,1.0,0.6244897959183674,0.6571428571428571,11,ea0b8b29b4f0d8d7c216eedf4f4bd5fa2578d1888bcafc31e412d089e42c2bfb,3b07dfd85ab3c6438e7d15386211fdcbdc88769cf1b72e6ffcc31a0f463088ae
clip_minmax_gaussian2c_minmax,2,all,0.543560606060606,0.9821428571428572,0.6061624649859944,0.5428571428571428,12,70444c20f853f95574ac425711a5196c175caade609e02d50e132654b69e64e2,dc90f4d450c070ad301b07b7b12375f1f7ee301c982dd5525c141aec4757eb2f
clip_minmax_gaussian2c_minmax,2,all,0.4696969696969696,0.7678571428571429,0.5428571428571428,0.5428571428571428,13,a5385106e2b98e678dbc0fd3ff2b21577ce6f48dfd1adea945a2b36307a88b85,28fef2e10e8a900f863cd5c715380ca1011d93f30ceefe5187f4b4609815fb9a
clip_minmax_gaussian2c_minmax,2,all,0.7102272727272727,1.0,0.7633699633699634,0.7714285714285715,14,aad62498695d46a17c07cea95b1d7bbf0b517245a750f33c76d0fd67cd7d455b,4aa740bb3d8d7cf94afe0c3dce99d286fa94e83155c3d24d74287c29d951cb28
clip_minmax_gaussian2c_minmax,2,all,0.8712121212121212,1.0,0.8775510204081632,0.8571428571428571,15,3533d49d017f77e64deda016a030220551630a9c7b0a91dbbe6a2f4e8a741bb8,fa4ccbccdaac98c774e19d830d7054c5bbed4bbfdc798ab65df5a1dc95dd2593
clip_minmax_gaussian2c_minmax,2,all,0.9166666666666669,1.0,0.916190476190476,0.8857142857142857,16,8f81f7c87943303b15cd978b79c01aea76c2e13381872af86bc2bad956755aa9,2362c025220952c8791ce2423fe5f4e511fb379d1de533bbd673ca3dbdc4c08e
clip_minmax_gaussian2c_minmax,2,all,0.7462121212121212,1.0,0.7971428571428572,0.6857142857142857,17,a9aa69906e5a75484dae024c922174cecc37d4dd61cf43b50a0085653668b598,fcf6e7e0db55f3d08724238cf521c5bfe6f4f641672492b70173742ba8b81c4e
clip_minmax_gaussian2c_minmax,2,all,0.7348484848484849,1.0,0.7714285714285715,0.7714285714285715,18,1a1c07316b3159d3669c486e6ff13620f67979eac718889e3b04fc3167924ee4,209f7e668f1d41d0da00b555255aa59eebdd8a5feb051fc26786aa780ba901c9
clip_minmax_gaussian2c_minmax,2,all,0.7178030303030303,1.0,0.7504761904761904,0.7142857142857143,19,9c948ff34344a927c90266721d77198e1bcfebe254a187582455b7c2b21c949b,6e9b9b124be9edbc36b637c7f535602e31f84a9bf1298b308f321703fe2c4712
clip_minmax_gaussian2c_minmax,2,all,0.696969696969697,1.0,0.7345864661654135,0.6857142857142857,20,d5c80bf6ea00b25ef5e45f80a19cfef264fe408a3e6a436e31e504727a4afb48,ca562138736b97504ceba9770951d77b917ec1847d8cb1e99697b6a4526142bd
clip_minmax_gaussian2c_minmax,2,all,0.8712121212121212,0.9821428571428572,0.8775510204081632,0.8571428571428571,21,2fe7a4f122a72c93f0a79e8312371ed197bc043bc02a5d27f1fe209231665933,fccf4a7c38167144f84adfaedf60aa9d990f51e277d70364f08babcff18e3213
clip_minmax_gaussian2c_minmax,2,all,0.7348484848484849,1.0,0.7714285714285715,0.7714285714285715,22,7dfacca70ddc3747d587a91206fcf4a21004f88682711413a48cddc0396a3cdd,17d0b8029757b74cd471d93f48d75b05c41e74940d3f10435107b10e27f96440
clip_minmax_gaussian2c_minmax,2,all,0.6723484848484849,1.0,0.7122448979591838,0.6857142857142857,23,6685584032726093bbfa2a09c178ee0cab473e9abee7919e7d5d150c8157c314,6dadb2d702a9f0941cf35f7dd896c3b0e9594a193d27d21147beb8a9a5adadfe
clip_minmax_gaussian2c_minmax,2,all,0.5814393939393939,0.9464285714285714,0.637784679089027,0.6285714285714286,24,8f619a961b0f5b7e1237eb80d10a731c44689058cd5c511bf3a9af112e7851e0,bc7f2dfcd8ec1494241c73b86dc0d5edfa3e25525f09548ade49aaa856337829
clip_minmax_gaussian2c_minmax,2,all,0.7140151515151515,1.0,0.7497929606625259,0.7428571428571429,25,b80b87570981dcf80ed66cf99590606c5fe4b1b578e391c991534ee5dd3a4944,1a40e4fc3dc142b840c801b18d0ef78315b0b3b6f906d58cd1ff4b6f7f8bcdb6
clip_minmax_gaussian2c_minmax,2,all,0.8257575757575758,1.0,0.840959040959041,0.8285714285714286,26,a29be4b0aac281e5859e3c6555492eb4253060fbcab70e7ae083fac7ec0f2bfe,6ea0c57f830ea0e609353d63532fce8210ee16333f1fefcd89fde1e0b0aed1e7
clip_minmax_gaussian2c_minmax,2,all,0.8295454545454546,1.0,0.8460526315789474,0.8,27,e6a59b7e7dffa5b2ee5031753179c306cabf80d12fd1fca816405221f93f800f,527a61dadf97ac393d5fb9affe7876b6a7490d6a1db00a084fe4ed76bbe70acb
clip_minmax_gaussian2c_minmax,2,all,0.6231060606060606,1.0,0.6782857142857144,0.6857142857142857,28,d52fa934b321820c0e5e122c886f186e8faeb214cb38c729dc6af8bddd70d6e5,a8f342f5a318813c37a5898789359325dac383a5582691755185987eb8c9c9fa
clip_minmax_gaussian2c_minmax,2,all,0.7424242424242424,1.0,0.7759103641456583,0.7142857142857143,29,8bea023c93c6805ae68ab212f49fa193f814ce7a887103fed969971e2a9412bc,7e913dff155f5516017b732ae5b9ee84f46e7019f974c54c41f1a7f666547d2d
clip_minmax_gaussian2c_minmax,2,all,0.8087121212121212,0.9821428571428572,0.8324929971988795,0.7714285714285715,30,a855cf92af28c8b2334660569b33dfa41819daa52f5f32097a552c74cedf4ce4,8ea100818359e30fb5bf7123c83b77ce2a60c1f45c43b0ee50cef2dcf1a5c39c
clip_minmax_gaussian2c_minmax,2,all,0.668560606060606,1.0,0.7142857142857143,0.7142857142857143,31,93c0cd3dd624b2dc7af6d31215be40a2c3b19ae5178621297ee0911151d4cb2c,e91eeeaaf85508a3a3bf9d760200447aceda28fb8b7c86e9c0f41822943504ed
clip_minmax_gaussian2c_minmax,2,all,0.5075757575757576,1.0,0.5776683087027915,0.6285714285714286,32,403dacc93b3ead3fce867694bc76a5505f5ce3b0cbbde4719a3df64cd7574aae,faebebbb94d9b9c349087aa61a297bb31ecc88984270a6220f11db3daa2e7956
clip_minmax_gaussian2c_minmax,2,all,0.7765151515151515,0.9642857142857144,0.8246642246642247,0.8285714285714286,33,1ba88f5a30a66988f62bfe298d954dfd52ffb9369a9707964c195367b32fcdfb,ff08271e2ac52c3157df81ebd1a4e34377b7e867de63ada9539f96faa3915a58
clip_minmax_gaussian2c_minmax,2,all,0.7632575757575758,1.0,0.7903195488721805,0.7428571428571429,34,78c549ca03e6c2bc845c21404808a01eac00c1f3a93cb437045b30bdbd407a7c,bb77928815833f844335f1a99c8610773d21269cd23ce31e679556931eefd289
clip_minmax_gaussian2c_minmax,2,all,0.7386363636363636,1.0,0.7673469387755101,0.7428571428571429,35,791fe269c4cbbdd902b694fc02d44a02cccc96f0d26535dcdc5ebba870347e3b,c185a9b0fe5a33aba922d515688f499d4471c5e8b5309e53ea9b413a79c02b53
clip_minmax_gaussian2c_minmax,2,all,0.6553030303030303,1.0,0.7043884220354809,0.6285714285714286,36,02d8c954c2538a9f98bc667115547a1a7f9a0d58e798f3ac953ebfed97a9b1a7,8ca1f405306e20394671b143556de6822fd988562e86a42a28a92a5709e67dd6
clip_minmax_gaussian2c_minmax,2,all,0.6761363636363636,1.0,0.719327731092437,0.6571428571428571,37,a084d6d56645cd736ae079b5c6724d0ad6ce260c1e95e16d29b6145c2e11a722,ab66d27a45f0b2284236d0ce0786e1c0eefdc1275f1656b3faa32e7737431b63
clip_minmax_gaussian2c_minmax,2,all,0.8295454545454546,1.0,0.8460526315789474,0.8,38,62a51353927420863e47b004198da185384d5040bbe7de5216e404bdf5789ff9,2b1d008d6cdff552483d7cab39c18e986577f1292049ff72f28a77322ef256dd
