class,type,cell,microscope,filename,filetype,filepath,id_file,date,id_scene,pixel_size_z,pixel_size_y,pixel_size_x,id_scene_count,z,y,x,filepath_segmented,bad_segmentation,id_segment,segmented_filename
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-1-Airyscan Processing-01.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-1-Airyscan Processing-01.czi,0,original,Image:0,0.18,0.048756105006105,0.048756105006105,0,44.0,236.0,236.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-0_idscene-0_one_bad.npz,1,0.0,ES_Wildtype_WT_Airyscan_all_idfile-0_idscene-0_one_bad.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-10-Airyscan Processing-61.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-10-Airyscan Processing-61.czi,1,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,77.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-1_idscene-0.npz,0,0.0,ES_Wildtype_WT_Airyscan_all_idfile-1_idscene-0.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-11-Airyscan Processing-62.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-11-Airyscan Processing-62.czi,2,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,61.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-2_idscene-0.npz,0,0.0,ES_Wildtype_WT_Airyscan_all_idfile-2_idscene-0.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-12-Airyscan Processing-63.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-12-Airyscan Processing-63.czi,3,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,51.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-3_idscene-0.npz,0,0.0,ES_Wildtype_WT_Airyscan_all_idfile-3_idscene-0.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-13-Airyscan Processing-64.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-13-Airyscan Processing-64.czi,4,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,44.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-4_idscene-0_one_bad.npz,1,0.0,ES_Wildtype_WT_Airyscan_all_idfile-4_idscene-0_one_bad.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-14-Airyscan Processing-65.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-14-Airyscan Processing-65.czi,5,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,54.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-5_idscene-0.npz,0,0.0,ES_Wildtype_WT_Airyscan_all_idfile-5_idscene-0.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-15-Airyscan Processing-66.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-15-Airyscan Processing-66.czi,6,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,64.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-6_idscene-0_one_bad.npz,1,0.0,ES_Wildtype_WT_Airyscan_all_idfile-6_idscene-0_one_bad.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-16-Airyscan Processing-67.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-16-Airyscan Processing-67.czi,7,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,54.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-7_idscene-0.npz,0,0.0,ES_Wildtype_WT_Airyscan_all_idfile-7_idscene-0.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-17-Airyscan Processing-68.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-17-Airyscan Processing-68.czi,8,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,54.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-8_idscene-0.npz,0,0.0,ES_Wildtype_WT_Airyscan_all_idfile-8_idscene-0.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-18-Airyscan Processing-69.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-18-Airyscan Processing-69.czi,9,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,51.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-9_idscene-0.npz,0,0.0,ES_Wildtype_WT_Airyscan_all_idfile-9_idscene-0.npz
