# This csv contains the original filenames for STED images given as .lif files.
# These images are ordered by integers given as image_list_index.
# From these lif-files the pixel_sizes are read, and they are split into different images according to the id_scene.
# Then those images are segmented; where each nuclei is saved in a separte file given by segmented_filename
# and ordered by zslice_index (starting at 0 and increasing by 1 for each slice in the same image).
# Finally, label shows if it is a ES or NS cell. 
# The type column is always STED (and thus redundant but still included).
image_list_index,type,label,original_filename,zslice_index,id_scene,pixel_size_z,pixel_size_x,pixel_size_y,segmented_filename
0,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,0,20Regions/P 5,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_0_0.npz
1,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,0,20Regions/P 18,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_1_0.npz
1,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,1,20Regions/P 18,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_1_1.npz
2,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,0,20Regions/P 1,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_2_0.npz
2,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,1,20Regions/P 1,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_2_1.npz
2,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,2,20Regions/P 1,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_2_2.npz
2,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,3,20Regions/P 1,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_2_3.npz
3,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,0,20Regions/P 2,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_3_0.npz
3,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,1,20Regions/P 2,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_3_1.npz
3,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,2,20Regions/P 2,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_3_2.npz
3,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,3,20Regions/P 2,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_3_3.npz
4,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,0,20Regions/P 4,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_4_0.npz
4,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,1,20Regions/P 4,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_4_1.npz
4,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,2,20Regions/P 4,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_4_2.npz
4,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,3,20Regions/P 4,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_4_3.npz
4,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,4,20Regions/P 4,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_4_4.npz
5,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,0,20Regions/P 3,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_5_0.npz
5,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,1,20Regions/P 3,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_5_1.npz
5,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,2,20Regions/P 3,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_5_2.npz
5,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,3,20Regions/P 3,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_5_3.npz
5,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,4,20Regions/P 3,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_5_4.npz
6,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,0,20Regions/P 9,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_6_0.npz
6,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,1,20Regions/P 9,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_6_1.npz
6,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,2,20Regions/P 9,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_6_2.npz
7,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,0,20Regions/P 17,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_7_0.npz
7,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,1,20Regions/P 17,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_7_1.npz
9,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,0,20Regions/P 7,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_9_0.npz
9,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,1,20Regions/P 7,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_9_1.npz
9,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,2,20Regions/P 7,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_9_2.npz
10,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,0,20Regions/P 8,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_10_0.npz
10,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,1,20Regions/P 8,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_10_1.npz
10,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,2,20Regions/P 8,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_10_2.npz
11,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,0,20Regions/P 10,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_11_0.npz
11,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,1,20Regions/P 10,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_11_1.npz
11,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,2,20Regions/P 10,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_11_2.npz
11,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,3,20Regions/P 10,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_11_3.npz
11,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,4,20Regions/P 10,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_11_4.npz
11,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,5,20Regions/P 10,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_11_5.npz
12,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,0,20Regions/P 14,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_12_0.npz
12,STED,ES,CTCF_STED_WT-ES-2i_A1_June2024.lif,1,20Regions/P 14,0.2141001111111111,0.0407298826979472,0.0407298826979472,mask_ES_12_1.npz
